votes,no_answers,questions,links,tags
1,,Why was ELIZA able to induce “delusional thinking”?,/questions/1716/why-was-eliza-able-to-induce-delusional-thinking,"history,turing-test,emotional-intelligence,chat-bots"
1,,"Given enough computational resources, do we currently have any algorithms which could achieve AI?",/questions/1630/given-enough-computational-resources-do-we-currently-have-any-algorithms-which,"turing-test,strong-ai,ai-design"
1,,"Which algorithm is robust to noisy data? (Decision Tree, K-Mean clustering, HMM) [migrated]",/questions/2060/which-algorithm-is-robust-to-noisy-data-decision-tree-k-mean-clustering-hmm,"models,unsupervised-learning"
2,,How would an AI learn language?,/questions/1970/how-would-an-ai-learn-language,natural-language
1,,Have any chatbots fooled the judges and won the Loebner Prize Gold medal yet?,/questions/1628/have-any-chatbots-fooled-the-judges-and-won-the-loebner-prize-gold-medal-yet,"history,turing-test,chat-bots"
4,,What is the calcium equivalent role in neural networks,/questions/2023/what-is-the-calcium-equivalent-role-in-neural-networks,"philosophy,unsupervised-learning,neurons"
6,,Can an AI make a constructed (natural) language?,/questions/1809/can-an-ai-make-a-constructed-natural-language,natural-language
10,,Are there any AI that have passed the MIST test so far?,/questions/1397/are-there-any-ai-that-have-passed-the-mist-test-so-far,"history,intelligence-testing,turing-test,chat-bots"
3,4,Advantages of having self-driving cars,/questions/2127/advantages-of-having-self-driving-cars,"research,self-driving,cars"
11,,What are the flaws in Jeff Hawkins's AI framework?,/questions/2005/what-are-the-flaws-in-jeff-hawkinss-ai-framework,unsupervised-learning
12,,Are Siri and Cortana AI programs?,/questions/1461/are-siri-and-cortana-ai-programs,"emotional-intelligence,intelligence-testing,natural-language,applications"
4,,What was the first machine that was able to carry on a conversation?,/questions/191/what-was-the-first-machine-that-was-able-to-carry-on-a-conversation,"history,turing-test,natural-language"
0,7,Is AI living or non-living?,/questions/2111/is-ai-living-or-non-living,"research,philosophy"
2,,Is it possible for 'unsupervised learning' model to recognize features on unlabelled images?,/questions/249/is-it-possible-for-unsupervised-learning-model-to-recognize-features-on-unlabe,"image-recognition,unsupervised-learning"
3,3,Has an AI ever solved a detective mystery?,/questions/241/has-an-ai-ever-solved-a-detective-mystery,"natural-language,problem-solving,world-knowledge"
5,,Specific requirements of the Turing Test,/questions/80/specific-requirements-of-the-turing-test,"turing-test,evaluators"
4,2,How can an AI system develop its domain knowledge? Is there more than just Machine Learning?,/questions/2168/how-can-an-ai-system-develop-its-domain-knowledge-is-there-more-than-just-machi,"machine-learning,knowledge-representation"
1,2,Why are autonomous cars categorized as AI?,/questions/2126/why-are-autonomous-cars-categorized-as-ai,"self-driving,strong-ai,cars,weak-ai"
1,,What is good way of start learning AI step by step? [closed],/questions/2077/what-is-good-way-of-start-learning-ai-step-by-step,"ai-design,training"
1,1,Is it possible to create a 'logic system' equivalent to humans?,/questions/2101/is-it-possible-to-create-a-logic-system-equivalent-to-humans,research
1,,How does unsupervised learning model learn?,/questions/220/how-does-unsupervised-learning-model-learn,"models,unsupervised-learning"
1,,How does DeepQA analyze natural language? [closed],/questions/211/how-does-deepqa-analyze-natural-language,"algorithm,natural-language,watson,lexical-recognition"
11,,How could emotional intelligence be implemented?,/questions/26/how-could-emotional-intelligence-be-implemented,"turing-test,emotional-intelligence"
1,2,AI Completeness - Testing,/questions/2145/ai-completeness-testing,"machine-learning,deep-learning,learning-theory,incompleteness-theorems"
-1,,Suggestion for university for PhD in computer vision [closed],/questions/2103/suggestion-for-university-for-phd-in-computer-vision,"machine-learning,image-recognition,strong-ai,computer-vision"
0,,Artificial writing system [closed],/questions/2054/artificial-writing-system,"machine-learning,training"
2,1,How to start learning about artificial intelligence? [closed],/questions/1860/how-to-start-learning-about-artificial-intelligence,research
0,,Calculate target output of neuron in hidden layers of neural network [migrated],/questions/2155/calculate-target-output-of-neuron-in-hidden-layers-of-neural-network,"neural-networks,deep-network,hidden-layers,backpropagation"
0,3,AIs' self-evaluation threshold,/questions/172/ais-self-evaluation-threshold,"neural-networks,machine-learning,unsupervised-learning,self-learning"
2,1,Can abstractive summarization be achieved using neural networks?,/questions/207/can-abstractive-summarization-be-achieved-using-neural-networks,"neural-networks,natural-language,text-summarization"
15,2,"Is the Turing Test, or any of its variants, a reliable test of artificial intelligence?",/questions/15/is-the-turing-test-or-any-of-its-variants-a-reliable-test-of-artificial-intell,"turing-test,strong-ai,intelligent-agent,weak-ai"
1,,"What sort of game problems can Neural-Networks and Genetic Algorithms solve, and how are they typically implemented?",/questions/2117/what-sort-of-game-problems-can-neural-networks-and-genetic-algorithms-solve-and,"neural-networks,gaming,genetic-algorithms"
5,,How would Deepmind's new differentiable neural computer scale?,/questions/2144/how-would-deepminds-new-differentiable-neural-computer-scale,"deep-learning,ai-design"
-1,,Bootstrapping prior to running classification learner app in Matlab [migrated],/questions/2141/bootstrapping-prior-to-running-classification-learner-app-in-matlab,"machine-learning,algorithm,classification,models"
3,,Is there a trade-off between flexibility and efficiency?,/questions/1989/is-there-a-trade-off-between-flexibility-and-efficiency,"ai-design,strong-ai,weak-ai"
