votes,no_answers,questions,links,tags
2,,How does the Sun generate its periodically reversing large-scale magnetic field? [on hold],/questions/18734/how-does-the-sun-generate-its-periodically-reversing-large-scale-magnetic-field,"star,sun"
0,1,What constellation would the Sun be in from an exoplanet?,/questions/18727/what-constellation-would-the-sun-be-in-from-an-exoplanet,"star,amateur-observing,star-gazing"
0,2,Need help finding a star,/questions/18618/need-help-finding-a-star,star
5,2,Multiple Star-system percentages,/questions/18604/multiple-star-system-percentages,"star,binary-star"
0,1,Distribution of spectral types of “giant” stars,/questions/18561/distribution-of-spectral-types-of-giant-stars,star
0,,Is time's unique direction the same consequence as space expansion ? Is expansion homogeneous? [duplicate],/questions/18576/is-times-unique-direction-the-same-consequence-as-space-expansion-is-expansio,"universe,space-time,space,expansion"
0,,is it possible to prove some version of the “cosmic censorship hypothesis” of Roger Penrose which proposes that this is impossible?,/questions/18603/is-it-possible-to-prove-some-version-of-the-cosmic-censorship-hypothesis-of-ro,"general-relativity,singularity,quantum-mechanics"
4,2,Are sulfur and phosphorus also created in the nucleosynthesis of big stars?,/questions/18535/are-sulfur-and-phosphorus-also-created-in-the-nucleosynthesis-of-big-stars,star
2,,Is there mass i.e a physical bottom to a black hole? [duplicate],/questions/18215/is-there-mass-i-e-a-physical-bottom-to-a-black-hole,"gravity,black-hole,space-time,space"
2,1,Has the velocity of photons coming from black holes already been measured?,/questions/16483/has-the-velocity-of-photons-coming-from-black-holes-already-been-measured,"black-hole,light,general-relativity,horizon,photons"
2,1,Why does the Tycho-2 catalog not include Hipparcos stars? [closed],/questions/18497/why-does-the-tycho-2-catalog-not-include-hipparcos-stars,star
1,,High quality Space-related blog/website? [closed],/questions/18128/high-quality-space-related-blog-website,space
0,1,Why is the CMB not simply travelling parallel to us? [closed],/questions/16367/why-is-the-cmb-not-simply-travelling-parallel-to-us,"general-relativity,big-bang-theory,expansion,cosmological-inflation,cmb"
0,1,How to explain that Polaris is a circumpolar star in the sky of any North America city?,/questions/18365/how-to-explain-that-polaris-is-a-circumpolar-star-in-the-sky-of-any-north-americ,"star,constellations,pole"
1,2,Are there any sounds in space?,/questions/17838/are-there-any-sounds-in-space,"universe,space"
3,,Dfferent distances to comet 67P,/questions/18540/dfferent-distances-to-comet-67p,"distances,67p"
0,1,Cosmic microwave background radiation: why did it take so long to get here?,/questions/18741/cosmic-microwave-background-radiation-why-did-it-take-so-long-to-get-here,"astrophysics,fundamental-astronomy,big-bang-theory,radio-astronomy,cosmic-ray"
0,1,Cosmic microwave background radiation: why did it take so long to get here?,/questions/18741/cosmic-microwave-background-radiation-why-did-it-take-so-long-to-get-here,"astrophysics,fundamental-astronomy,big-bang-theory,radio-astronomy,cosmic-ray"
16,2,Does the recent news of “ten times more galaxies” imply that there is correspondingly less dark matter?,/questions/18708/does-the-recent-news-of-ten-times-more-galaxies-imply-that-there-is-correspond,"universe,cosmology,dark-matter,observable-universe,hubble-telescope"
0,,Can we measure/detect GR light bending during solar eclipse using ordinary equipment?,/questions/14910/can-we-measure-detect-gr-light-bending-during-solar-eclipse-using-ordinary-equip,"general-relativity,solar-eclipse"
-3,,Since more and more dark energy appears does this mean that it is infinite or that the potential dark energy that can be created is infinite? [duplicate],/questions/18723/since-more-and-more-dark-energy-appears-does-this-mean-that-it-is-infinite-or-th,"space-time,dark-energy,vacuum"
-3,,clusters of stars [closed],/questions/18663/clusters-of-stars,milky-way
0,1,Direction of Meteors [duplicate],/questions/18754/direction-of-meteors,"amateur-observing,meteor"
10,,Can the difference between a star and a galaxy which are point sources be detected?,/questions/18357/can-the-difference-between-a-star-and-a-galaxy-which-are-point-sources-be-detect,"star,galaxy,redshift"
8,,Is Universe Sandbox 2 realistic?,/questions/16395/is-universe-sandbox-2-realistic,"space,n-body-simulations"
5,2,Did Gaia actually generate complete light curves for 212 Cepheids in other galaxies?,/questions/18456/did-gaia-actually-generate-complete-light-curves-for-212-cepheids-in-other-galax,"distances,expansion,cepheids,gaia,hubble-constant"
0,1,Local sidereal time interpretation,/questions/18650/local-sidereal-time-interpretation,"fundamental-astronomy,date-time"
0,1,On orbital mechanics of evaporating planets,/questions/18729/on-orbital-mechanics-of-evaporating-planets,"planet,astrophysics,celestial-mechanics,orbital-mechanics"
3,,"Why are galaxies distributed as walls and voids, or spider webs?",/questions/18686/why-are-galaxies-distributed-as-walls-and-voids-or-spider-webs,"gravity,galaxy,universe,cosmology,expansion"
0,1,Would a Einstein–Rosen bridge change size and/or position in an expanding Universe?,/questions/14444/would-a-einstein-rosen-bridge-change-size-and-or-position-in-an-expanding-univer,"general-relativity,astrophysics,wormhole"
0,,"Is the potential energy of vacuum energy, virtual particles and/or dark energy infinite? [duplicate]",/questions/18718/is-the-potential-energy-of-vacuum-energy-virtual-particles-and-or-dark-energy-i,"universe,space-time,dark-energy,vacuum"
8,,In what parts of the world is it impossible to view the night sky due to light pollution?,/questions/18585/in-what-parts-of-the-world-is-it-impossible-to-view-the-night-sky-due-to-light-p,"observation,milky-way,light-pollution,night-sky"
0,1,What constellation would the Sun be in from an exoplanet?,/questions/18727/what-constellation-would-the-sun-be-in-from-an-exoplanet,"star,amateur-observing,star-gazing"
1,,What would we see if all stars disappeared simultaneously?,/questions/18305/what-would-we-see-if-all-stars-disappeared-simultaneously,"star,amateur-observing"
9,,How cold is interstellar space?,/questions/15086/how-cold-is-interstellar-space,"space,temperature,interstellar-medium"
3,2,Darkness in Outer Space,/questions/18753/darkness-in-outer-space,light
1,,How far apart are stars in Terzan 5 cluster?,/questions/18319/how-far-apart-are-stars-in-terzan-5-cluster,"distances,globular-clusters"
3,,Numbers 80 to 85 in Ancient Astronomy,/questions/18259/numbers-80-to-85-in-ancient-astronomy,"fundamental-astronomy,history"
1,,Astronomy & machine learning. Where to start? [closed],/questions/18672/astronomy-machine-learning-where-to-start,"observation,astrophysics,radio-astronomy,data-analysis"
0,,Cosmology: about the equations of expansions,/questions/18664/cosmology-about-the-equations-of-expansions,"cosmology,expansion"
3,,How does an absolute horizon form before the apparent horizon?,/questions/14399/how-does-an-absolute-horizon-form-before-the-apparent-horizon,"gravity,black-hole,space-time,general-relativity,supermassive-black-hole"
1,,Moving away from an object when using space-time distortion (very theoretical) [migrated],/questions/18682/moving-away-from-an-object-when-using-space-time-distortion-very-theoretical,"space-time,space-travel"
2,,Explaining the Drake Equation on a smaller scale,/questions/18574/explaining-the-drake-equation-on-a-smaller-scale,"solar-system,milky-way,life,astrobiology"
0,,"Auroras: is there any bump in frequency at certain times of night, or times of year?",/questions/18662/auroras-is-there-any-bump-in-frequency-at-certain-times-of-night-or-times-of-y,"amateur-observing,aurora"
0,,How much star can star fusion fuse if star fusion can fuse hydrogen?,/questions/18258/how-much-star-can-star-fusion-fuse-if-star-fusion-can-fuse-hydrogen,"star,nucleosynthesis"
1,,View HD images of space in linux [SOLVED] [closed],/questions/14883/view-hd-images-of-space-in-linux-solved,"space,fundamental-astronomy,astrophotography,photography,nasa"
0,,Using a telescope to look at the Earth History in Some Detail [closed],/questions/18328/using-a-telescope-to-look-at-the-earth-history-in-some-detail,light
2,2,Stellar Mapping and Coordinates [closed],/questions/18203/stellar-mapping-and-coordinates,"star,distances,coordinate,naming"
4,,Need help reproducing the orbital velocity in this paper. Why is my value off?,/questions/18747/need-help-reproducing-the-orbital-velocity-in-this-paper-why-is-my-value-off,"planet,orbit,exoplanet,orbital-elements"
